model,schedule,step,tolerance,nodes_found,nodes_right,records_exact
detr,constant,150000,2,92.13,92.32,37.23
detr,constant,150000,4,95.48,95.67,48.61
detr,constant,150000,8,96.15,96.35,51.05
detr,constant,160000,0,0.00,0.00,0.00
detr,constant,160000,2,86.41,88.70,26.86
detr,constant,160000,4,90.93,93.34,36.99
detr,constant,160000,8,92.46,94.91,40.55
detr,constant,170000,0,0.00,0.00,0.00
detr,constant,170000,2,0.00,0.00,0.00
detr,constant,170000,4,0.00,0.00,0.00
detr,constant,170000,8,0.00,0.00,0.00
detr,constant,180000,0,0.00,0.00,0.00
detr,constant,180000,2,89.77,91.25,30.10
detr,constant,180000,4,93.37,94.91,40.92
detr,constant,180000,8,94.25,95.81,43.38
detr,constant,190000,0,0.00,0.00,0.00
detr,constant,190000,2,92.85,93.98,39.75
detr,constant,190000,4,94.89,96.06,46.53
detr,constant,190000,8,95.48,96.64,48.51
detr,constant,200000,0,0.00,0.00,0.00
detr,constant,200000,2,92.90,93.74,41.87
detr,constant,200000,4,95.08,95.94,49.51
detr,constant,200000,8,95.76,96.63,51.76
d2g,constant,10000,0,0.00,0.00,0.00
d2g,constant,10000,2,23.40,22.10,0.05
d2g,constant,10000,4,23.41,22.10,0.05
d2g,constant,10000,8,23.46,22.16,0.05
d2g,constant,20000,0,0.00,0.00,0.00
d2g,constant,20000,2,72.84,74.41,9.91
d2g,constant,20000,4,72.85,74.42,9.91
d2g,constant,20000,8,73.02,74.59,9.94
d2g,constant,30000,0,0.00,0.00,0.00
d2g,constant,30000,2,79.30,83.49,13.33
d2g,constant,30000,4,79.31,83.50,13.33
d2g,constant,30000,8,79.46,83.66,13.35
d2g,constant,40000,0,0.00,0.00,0.00
d2g,constant,40000,2,83.05,89.76,16.36
d2g,constant,40000,4,83.06,89.76,16.36
d2g,constant,40000,8,83.22,89.94,16.38
d2g,constant,50000,0,0.00,0.00,0.00
d2g,constant,50000,2,84.35,87.72,17.04
d2g,constant,50000,4,84.37,87.73,17.04
d2g,constant,50000,8,84.55,87.92,17.09
d2g,constant,60000,0,0.00,0.00,0.00
d2g,constant,60000,2,85.56,89.62,18.80
d2g,constant,60000,4,85.60,89.66,18.82
d2g,constant,60000,8,85.83,89.89,19.04
d2g,constant,70000,0,0.00,0.00,0.00
d2g,constant,70000,2,86.63,90.22,19.58
d2g,constant,70000,4,86.65,90.24,19.58
d2g,constant,70000,8,86.86,90.46,19.82
d2g,constant,80000,0,0.00,0.00,0.00
d2g,constant,80000,2,86.05,87.58,19.80
d2g,constant,80000,4,86.12,87.65,20.00
d2g,constant,80000,8,86.43,87.96,20.78
d2g,constant,90000,0,0.00,0.00,0.00
d2g,constant,90000,2,86.83,90.10,21.92
d2g,constant,90000,4,86.94,90.21,22.34
d2g,constant,90000,8,87.28,90.56,23.34
d2g,constant,100000,0,0.00,0.00,0.00
d2g,constant,100000,2,87.52,90.49,22.14
d2g,constant,100000,4,87.67,90.64,22.88
d2g,constant,100000,8,88.18,91.16,24.90
d2g,constant,110000,0,0.00,0.00,0.00
d2g,constant,110000,2,86.80,89.68,22.44
d2g,constant,110000,4,87.07,89.95,23.66
d2g,constant,110000,8,87.66,90.56,26.25
d2g,constant,120000,0,0.00,0.00,0.00
d2g,constant,120000,2,88.44,90.09,24.73
d2g,constant,120000,4,88.80,90.46,26.46
d2g,constant,120000,8,89.66,91.33,30.69
d2g,constant,130000,0,0.00,0.00,0.00
d2g,constant,130000,2,88.92,91.58,25.76
d2g,constant,130000,4,89.41,92.09,28.22
d2g,constant,130000,8,90.29,92.99,32.62
d2g,constant,140000,0,0.00,0.00,0.00
d2g,constant,140000,2,89.04,90.71,26.88
d2g,constant,140000,4,89.55,91.22,29.86
d2g,constant,140000,8,90.65,92.34,35.94
d2g,constant,150000,0,0.00,0.00,0.00
d2g,constant,150000,2,89.16,89.91,27.93
d2g,constant,150000,4,89.78,90.53,31.05
d2g,constant,150000,8,91.14,91.91,38.84
d2g,constant,160000,0,0.00,0.00,0.00
d2g,constant,160000,2,90.08,90.23,30.32
d2g,constant,160000,4,90.99,91.14,35.45
d2g,constant,160000,8,92.58,92.73,44.34
d2g,constant,170000,0,0.00,0.00,0.00
d2g,constant,170000,2,89.90,89.69,30.15
d2g,constant,170000,4,90.85,90.63,35.25
d2g,constant,170000,8,92.41,92.19,44.43
d2g,constant,180000,0,0.00,0.00,0.00
d2g,constant,180000,2,89.73,90.65,30.44
d2g,constant,180000,4,90.69,91.62,35.89
d2g,constant,180000,8,92.17,93.12,44.92
d2g,constant,190000,0,0.00,0.00,0.00
d2g,constant,190000,2,90.00,90.02,31.91
d2g,constant,190000,4,91.13,91.15,38.40
d2g,constant,190000,8,92.65,92.67,46.73
d2g,constant,200000,0,0.00,0.00,0.00
d2g,constant,200000,2,90.82,91.21,33.72
d2g,constant,200000,4,92.05,92.45,40.70
d2g,constant,200000,8,93.69,94.09,51.10
